x_mm,L_mm,r_mag,p_norm
1.187375,2.50,0.95,0.57762292
1.192385,2.50,0.95,1.29226700
1.197395,2.50,0.95,1.77860687
1.202405,2.50,0.95,1.94951285
1.207415,2.50,0.95,1.77455315
1.212425,2.50,0.95,1.28488185
1.217435,2.50,0.95,0.56824481
1.222445,2.50,0.95,0.25730000
1.227455,2.50,0.95,1.02714457
1.232465,2.50,0.95,1.61812671
1.237475,2.50,0.95,1.92229898
1.242485,2.50,0.95,1.88544876
1.247495,2.50,0.95,1.51413561
1.252505,2.50,0.95,0.87460439
1.257515,2.50,0.95,0.09277640
1.262525,2.50,0.95,0.73272705
1.267535,2.50,0.95,1.41112514
1.272545,2.50,0.95,1.83977887
1.277555,2.50,0.95,1.94210153
1.282565,2.50,0.95,1.69987727
1.287575,2.50,0.95,1.15625368
1.292585,2.50,0.95,0.40920161
1.297595,2.50,0.95,0.41807243
1.302605,2.50,0.95,1.16359708
1.307615,2.50,0.95,1.70433401
1.312625,2.50,0.95,1.94287672
1.317635,2.50,0.95,1.83673450
1.322645,2.50,0.95,1.40480325
1.327655,2.50,0.95,0.72426358
1.332665,2.50,0.95,0.10057028
1.337675,2.50,0.95,0.88275379
1.342685,2.50,0.95,1.51987586
1.347695,2.50,0.95,1.88775195
1.352705,2.50,0.95,1.92075488
1.357715,2.50,0.95,1.61300992
1.362725,2.50,0.95,1.01936840
1.367735,2.50,0.95,0.24840706
1.372745,2.50,0.95,0.57695039
1.377756,2.50,0.95,1.29173918
1.382766,2.50,0.95,1.77831780
1.387776,2.50,0.95,1.94951357
1.392786,2.50,0.95,1.77484317
1.397796,2.50,0.95,1.28540902
1.402806,2.50,0.95,0.56891189
1.407816,2.50,0.95,0.25660903
1.412826,2.50,0.95,1.02654553
1.417836,2.50,0.95,1.61773331
1.422846,2.50,0.95,1.92218080
1.427856,2.50,0.95,1.88562648
1.432866,2.50,0.95,1.51457720
1.437876,2.50,0.95,0.87522994
