d_over_lambda,d_um,Zin_real_MRayl,Zin_imag_MRayl,Zin_mag_MRayl,T_power,T_dB
1.549775,116.2331,1.722417,-4.083644,4.432027,0.19901407,-7.0112
1.551776,116.3832,1.612335,-3.954519,4.270579,0.18773826,-7.2645
1.553777,116.5333,1.512426,-3.830829,4.118578,0.17735225,-7.5116
1.555778,116.6833,1.421534,-3.712389,3.975247,0.16777487,-7.7527
1.557779,116.8334,1.338651,-3.598992,3.839887,0.15893257,-7.9879
1.559780,116.9835,1.262902,-3.490416,3.711862,0.15075881,-8.2172
1.561781,117.1336,1.193522,-3.386430,3.590599,0.14319348,-8.4408
1.563782,117.2836,1.129841,-3.286805,3.475576,0.13618237,-8.6588
1.565783,117.4337,1.071275,-3.191316,3.366322,0.12967657,-8.8714
1.567784,117.5838,1.017306,-3.099741,3.262408,0.12363200,-9.0787
1.569785,117.7339,0.967482,-3.011870,3.163445,0.11800886,-9.2809
1.571786,117.8839,0.921401,-2.927500,3.069077,0.11277127,-9.4780
1.573787,118.0340,0.878708,-2.846437,2.978982,0.10788683,-9.6703
1.575788,118.1841,0.839089,-2.768499,2.892863,0.10332627,-9.8579
1.577789,118.3342,0.802263,-2.693514,2.810452,0.09906309,-10.0409
1.579790,118.4842,0.767982,-2.621317,2.731501,0.09507334,-10.2194
1.581791,118.6343,0.736022,-2.551756,2.655784,0.09133530,-10.3936
1.583792,118.7844,0.706185,-2.484687,2.583092,0.08782928,-10.5636
1.585793,118.9345,0.678291,-2.419973,2.513234,0.08453737,-10.7295
1.587794,119.0845,0.652180,-2.357488,2.446035,0.08144333,-10.8914
1.589795,119.2346,0.627708,-2.297112,2.381331,0.07853235,-11.0495
1.591796,119.3847,0.604744,-2.238733,2.318974,0.07579093,-11.2038
1.593797,119.5348,0.583170,-2.182246,2.258823,0.07320677,-11.3545
1.595798,119.6848,0.562879,-2.127552,2.200752,0.07076863,-11.5016
1.597799,119.8349,0.543776,-2.074558,2.144641,0.06846622,-11.6452
1.599800,119.9850,0.525771,-2.023179,2.090380,0.06629014,-11.7855
1.601801,120.1351,0.508786,-1.973331,2.037866,0.06423175,-11.9225
1.603802,120.2851,0.492747,-1.924938,1.987004,0.06228313,-12.0563
1.605803,120.4352,0.477588,-1.877928,1.937706,0.06043701,-12.1870
1.607804,120.5853,0.463247,-1.832233,1.889888,0.05868670,-12.3146
1.609805,120.7354,0.449671,-1.787789,1.843473,0.05702603,-12.4393
1.611806,120.8854,0.436807,-1.744536,1.798389,0.05544932,-12.5610
1.613807,121.0355,0.424608,-1.702416,1.754569,0.05395133,-12.6800
1.615808,121.1856,0.413033,-1.661377,1.711949,0.05252723,-12.7962
1.617809,121.3357,0.402040,-1.621368,1.670470,0.05117252,-12.9096
1.619810,121.4857,0.391595,-1.582341,1.630077,0.04988308,-13.0205
1.621811,121.6358,0.381662,-1.544252,1.590717,0.04865505,-13.1287
