theta_deg,R_glass,R_glass_dB,T_glass,R_pdms,R_pdms_dB,T_pdms,R_acrylic,R_acrylic_dB,T_acrylic,R_open,R_open_dB,T_open
40.60,1.00000000,0.0000,0.00000000,0.06014749,-12.2078,0.93985251,1.00000000,0.0000,0.00000000,0.00000000,-300.0000,1.00000000
40.70,1.00000000,0.0000,0.00000000,0.06037589,-12.1914,0.93962411,1.00000000,0.0000,0.00000000,0.00000000,-300.0000,1.00000000
40.80,1.00000000,0.0000,0.00000000,0.06060572,-12.1749,0.93939428,1.00000000,0.0000,0.00000000,0.00000000,-300.0000,1.00000000
40.90,1.00000000,0.0000,0.00000000,0.06083697,-12.1583,0.93916303,1.00000000,0.0000,0.00000000,0.00000000,-300.0000,1.00000000
41.00,1.00000000,0.0000,0.00000000,0.06106967,-12.1417,0.93893033,1.00000000,0.0000,0.00000000,0.00000000,-300.0000,1.00000000
41.10,1.00000000,0.0000,0.00000000,0.06130381,-12.1251,0.93869619,1.00000000,0.0000,0.00000000,0.00000000,-300.0000,1.00000000
41.20,1.00000000,0.0000,0.00000000,0.06153941,-12.1085,0.93846059,1.00000000,0.0000,0.00000000,0.00000000,-300.0000,1.00000000
41.30,1.00000000,0.0000,0.00000000,0.06177649,-12.0918,0.93822351,1.00000000,0.0000,0.00000000,0.00000000,-300.0000,1.00000000
41.40,1.00000000,0.0000,0.00000000,0.06201504,-12.0750,0.93798496,1.00000000,0.0000,0.00000000,0.00000000,-300.0000,1.00000000
41.50,1.00000000,0.0000,0.00000000,0.06225508,-12.0583,0.93774492,1.00000000,0.0000,0.00000000,0.00000000,-300.0000,1.00000000
41.60,1.00000000,0.0000,0.00000000,0.06249662,-12.0414,0.93750338,1.00000000,0.0000,0.00000000,0.00000000,-300.0000,1.00000000
41.70,1.00000000,0.0000,0.00000000,0.06273966,-12.0246,0.93726034,1.00000000,0.0000,0.00000000,0.00000000,-300.0000,1.00000000
41.80,1.00000000,0.0000,0.00000000,0.06298423,-12.0077,0.93701577,1.00000000,0.0000,0.00000000,0.00000000,-300.0000,1.00000000
