d_mm,d_over_lambda,T_power,T_power_dB,amplitude_factor,alpha_Npm,loss_per_wall_dB
4.9373,3.554358,1.53905708,1.8725,1.240587,42.6836,-1.8305
4.9671,3.575854,1.51617885,1.8075,1.231332,42.6836,-1.8415
4.9970,3.597351,1.48846449,1.7274,1.220026,42.6836,-1.8526
5.0269,3.618847,1.45863666,1.6395,1.207740,42.6836,-1.8637
5.0567,3.640343,1.42929771,1.5512,1.195532,42.6836,-1.8748
5.0866,3.661839,1.40271436,1.4697,1.184362,42.6836,-1.8858
5.1164,3.683335,1.38071763,1.4010,1.175039,42.6836,-1.8969
5.1463,3.704831,1.36469054,1.3503,1.168200,42.6836,-1.9080
5.1762,3.726327,1.35560492,1.3213,1.164304,42.6836,-1.9190
5.2060,3.747823,1.35407275,1.3164,1.163646,42.6836,-1.9301
5.2359,3.769319,1.36038674,1.3366,1.166356,42.6836,-1.9412
5.2657,3.790815,1.37453531,1.3816,1.172406,42.6836,-1.9522
5.2956,3.812312,1.39618522,1.4494,1.181603,42.6836,-1.9633
5.3255,3.833808,1.42463306,1.5370,1.193580,42.6836,-1.9744
5.3553,3.855304,1.45873564,1.6398,1.207781,42.6836,-1.9855
5.3852,3.876800,1.49684052,1.7518,1.223454,42.6836,-1.9965
5.4150,3.898296,1.53675126,1.8660,1.239658,42.6836,-2.0076
5.4449,3.919792,1.57577326,1.9749,1.255298,42.6836,-2.0187
5.4747,3.941288,1.61088505,2.0706,1.269206,42.6836,-2.0297
5.5046,3.962784,1.63905628,2.1459,1.280256,42.6836,-2.0408
5.5345,3.984280,1.65768214,2.1950,1.287510,42.6836,-2.0519
5.5643,4.005776,1.66503932,2.2142,1.290364,42.6836,-2.0629
5.5942,4.027273,1.66062665,2.2027,1.288653,42.6836,-2.0740
5.6240,4.048769,1.64527089,2.1624,1.282681,42.6836,-2.0851
5.6539,4.070265,1.62095874,2.0977,1.273169,42.6836,-2.0962
5.6838,4.091761,1.59045948,2.0152,1.261134,42.6836,-2.1072
5.7136,4.113257,1.55686819,1.9225,1.247745,42.6836,-2.1183
5.7435,4.134753,1.52319915,1.8276,1.234180,42.6836,-2.1294
5.7733,4.156249,1.49210705,1.7380,1.221518,42.6836,-2.1404
5.8032,4.177745,1.46575073,1.6606,1.210682,42.6836,-2.1515
5.8331,4.199241,1.44576995,1.6010,1.202402,42.6836,-2.1626
5.8629,4.220737,1.43332850,1.5635,1.197217,42.6836,-2.1737
5.8928,4.242233,1.42918046,1.5509,1.195483,42.6836,-2.1847
5.9226,4.263730,1.43372728,1.5647,1.197384,42.6836,-2.1958
5.9525,4.285226,1.44704634,1.6048,1.202932,42.6836,-2.2069
5.9824,4.306722,1.46888134,1.6699,1.211974,42.6836,-2.2179
6.0122,4.328218,1.49859339,1.7568,1.224170,42.6836,-2.2290
6.0421,4.349714,1.53508077,1.8613,1.238984,42.6836,-2.2401
6.0719,4.371210,1.57668735,1.9775,1.255662,42.6836,-2.2511
6.1018,4.392706,1.62113525,2.0982,1.273238,42.6836,-2.2622
6.1317,4.414202,1.66553352,2.2155,1.290556,42.6836,-2.2733
6.1615,4.435698,1.70652094,2.3211,1.306339,42.6836,-2.2844
6.1914,4.457194,1.74058330,2.4069,1.319312,42.6836,-2.2954
6.2212,4.478691,1.76453286,2.4663,1.328357,42.6836,-2.3065
6.2511,4.500187,1.77605781,2.4946,1.332688,42.6836,-2.3176
6.2810,4.521683,1.77418318,2.4900,1.331985,42.6836,-2.3286
6.3108,4.543179,1.75948064,2.4538,1.326454,42.6836,-2.3397
6.3407,4.564675,1.73394746,2.3904,1.316794,42.6836,-2.3508
6.3705,4.586171,1.70060344,2.3060,1.304072,42.6836,-2.3618
6.4004,4.607667,1.66295431,2.2088,1.289556,42.6836,-2.3729
6.4303,4.629163,1.62448777,2.1072,1.274554,42.6836,-2.3840
6.4601,4.650659,1.58831344,2.0094,1.260283,42.6836,-2.3951
6.4900,4.672155,1.55697754,1.9228,1.247789,42.6836,-2.4061
6.5198,4.693652,1.53242270,1.8538,1.237911,42.6836,-2.4172
6.5497,4.715148,1.51603684,1.8071,1.231274,42.6836,-2.4283
6.5796,4.736644,1.50873685,1.7861,1.228306,42.6836,-2.4393
6.6094,4.758140,1.51104614,1.7928,1.229246,42.6836,-2.4504
6.6393,4.779636,1.52314097,1.8274,1.234156,42.6836,-2.4615
6.6691,4.801132,1.54485236,1.8889,1.242921,42.6836,-2.4726
6.6990,4.822628,1.57562002,1.9745,1.255237,42.6836,-2.4836
6.7289,4.844124,1.61440377,2.0801,1.270592,42.6836,-2.4947
6.7587,4.865620,1.65957015,2.2000,1.288243,42.6836,-2.5058
6.7886,4.887116,1.70878965,2.3269,1.307207,42.6836,-2.5168
6.8184,4.908613,1.75900052,2.4527,1.326273,42.6836,-2.5279
6.8483,4.930109,1.80651036,2.5684,1.344065,42.6836,-2.5390
6.8782,4.951605,1.84729761,2.6654,1.359153,42.6836,-2.5500
6.9080,4.973101,1.87752500,2.7359,1.370228,42.6836,-2.5611
6.9379,4.994597,1.89418502,2.7742,1.376294,42.6836,-2.5722
6.9677,5.016093,1.89570096,2.7777,1.376845,42.6836,-2.5833
6.9976,5.037589,1.88227361,2.7468,1.371960,42.6836,-2.5943
7.0275,5.059085,1.85583775,2.6854,1.362291,42.6836,-2.6054
7.0573,5.080581,1.81964842,2.5999,1.348943,42.6836,-2.6165
7.0872,5.102077,1.77765858,2.4985,1.333289,42.6836,-2.6275
7.1170,5.123574,1.73389835,2.3902,1.316776,42.6836,-2.6386
7.1469,5.145070,1.69201101,2.2840,1.300773,42.6836,-2.6497
7.1768,5.166566,1.65500181,2.1880,1.286469,42.6836,-2.6607
7.2066,5.188062,1.62517218,2.1090,1.274822,42.6836,-2.6718
7.2365,5.209558,1.60417297,2.0525,1.266560,42.6836,-2.6829
7.2663,5.231054,1.59310833,2.0225,1.262184,42.6836,-2.6940
7.2962,5.252550,1.59263830,2.0212,1.261998,42.6836,-2.7050
7.3261,5.274046,1.60304783,2.0495,1.266115,42.6836,-2.7161
7.3559,5.295542,1.62426485,2.1066,1.274466,42.6836,-2.7272
7.3858,5.317038,1.65582102,2.1901,1.286787,42.6836,-2.7382
7.4156,5.338535,1.69675786,2.2962,1.302597,42.6836,-2.7493
7.4455,5.360031,1.74549309,2.4192,1.321171,42.6836,-2.7604
7.4754,5.381527,1.79968046,2.5520,1.341522,42.6836,-2.7715
7.5052,5.403023,1.85612193,2.6861,1.362396,42.6836,-2.7825
7.5351,5.424519,1.91081437,2.8122,1.382322,42.6836,-2.7936
7.5649,5.446015,1.95921679,2.9208,1.399720,42.6836,-2.8047
7.5948,5.467511,1.99678155,3.0033,1.413075,42.6836,-2.8157
7.6246,5.489007,2.01969218,3.0529,1.421159,42.6836,-2.8268
7.6545,5.510503,2.02562280,3.0656,1.423244,42.6836,-2.8379
7.6844,5.531999,2.01425873,3.0412,1.419246,42.6836,-2.8489
7.7142,5.553496,1.98737115,2.9828,1.409742,42.6836,-2.8600
7.7441,5.574992,1.94841658,2.8968,1.395857,42.6836,-2.8711
7.7739,5.596488,1.90182737,2.7917,1.379068,42.6836,-2.8822
7.8038,5.617984,1.85225223,2.6770,1.360975,42.6836,-2.8932
7.8337,5.639480,1.80396051,2.5623,1.343116,42.6836,-2.9043
7.8635,5.660976,1.76050269,2.4564,1.326839,42.6836,-2.9154
7.8934,5.682472,1.72460715,2.3669,1.313243,42.6836,-2.9264
7.9232,5.703968,1.69823483,2.3000,1.303163,42.6836,-2.9375
7.9531,5.725464,1.68270630,2.2601,1.297192,42.6836,-2.9486
7.9830,5.746960,1.67883481,2.2501,1.295699,42.6836,-2.9596
8.0128,5.768457,1.68702378,2.2712,1.298855,42.6836,-2.9707
8.0427,5.789953,1.70730652,2.3231,1.306639,42.6836,-2.9818
8.0725,5.811449,1.73931868,2.4038,1.318832,42.6836,-2.9929
8.1024,5.832945,1.78220311,2.5096,1.334992,42.6836,-3.0039
8.1323,5.854441,1.83445842,2.6351,1.354422,42.6836,-3.0150
8.1621,5.875937,1.89376123,2.7733,1.376140,42.6836,-3.0261
8.1920,5.897433,1.95682068,2.9155,1.398864,42.6836,-3.0371
8.2218,5.918929,2.01935671,3.0521,1.421041,42.6836,-3.0482
8.2517,5.940425,2.07631183,3.1729,1.440941,42.6836,-3.0593
