L_mm,n_organoids,freq_kHz,Q_glass,Q_silicon,contrast_mid_dB_glass,contrast_mid_dB_silicon,F_min_norm_glass,F_min_norm_silicon,F_max_glass,F_max_silicon,T_coupling_741kHz
2.2024,2,673.3549,16.65,24.07,18.5679,22.4425,0.999893,0.999834,8.55575833e-03,5.91706206e-03,0.800819
2.2505,2,658.9644,16.65,24.07,18.5680,22.4425,0.999895,0.999838,8.19397090e-03,5.66685646e-03,0.800819
2.2986,2,645.1761,16.65,24.07,18.5680,22.4426,0.999897,0.999840,7.85465576e-03,5.43219365e-03,0.800819
2.3467,2,631.9530,16.65,24.07,18.5680,22.4426,0.999899,0.999844,7.53598853e-03,5.21180971e-03,0.800819
2.3948,2,619.2611,16.65,24.07,18.5680,22.4426,0.999901,0.999847,7.23632703e-03,5.00456934e-03,0.800819
2.4429,2,607.0689,16.65,24.07,18.5680,22.4426,0.999903,0.999850,6.95419009e-03,4.80945004e-03,0.800819
2.4910,2,595.3475,16.65,24.07,18.5681,22.4427,0.999905,0.999853,6.68824018e-03,4.62552322e-03,0.800819
2.5391,3,876.1054,24.97,36.09,18.5671,22.4412,0.999721,0.999567,1.44842768e-02,1.00170658e-02,0.800819
2.5872,3,859.8184,24.97,36.10,18.5671,22.4412,0.999726,0.999575,1.39507416e-02,9.64808922e-03,0.800819
2.6353,3,844.1259,24.97,36.10,18.5672,22.4413,0.999731,0.999583,1.34461546e-02,9.29913164e-03,0.800819
2.6834,3,828.9959,24.97,36.10,18.5672,22.4413,0.999736,0.999590,1.29684547e-02,8.96876874e-03,0.800819
2.7315,3,814.3988,24.97,36.10,18.5672,22.4413,0.999740,0.999598,1.25157675e-02,8.65570295e-03,0.800819
2.7796,3,800.3068,24.97,36.10,18.5672,22.4414,0.999745,0.999604,1.20863745e-02,8.35874709e-03,0.800819
2.8277,3,786.6942,24.97,36.10,18.5673,22.4414,0.999749,0.999611,1.16787074e-02,8.07681580e-03,0.800819
2.8758,3,773.5369,24.97,36.10,18.5673,22.4415,0.999753,0.999618,1.12913233e-02,7.80891142e-03,0.800819
2.9238,3,760.8125,24.97,36.10,18.5673,22.4415,0.999758,0.999624,1.09228971e-02,7.55411740e-03,0.800819
2.9719,3,748.5000,24.97,36.10,18.5673,22.4416,0.999761,0.999630,1.05722157e-02,7.31159440e-03,0.800819
3.0200,3,736.5796,24.97,36.10,18.5674,22.4416,0.999765,0.999636,1.02381521e-02,7.08056527e-03,0.800819
3.0681,3,725.0330,24.97,36.10,18.5674,22.4416,0.999769,0.999642,9.91967816e-03,6.86031674e-03,0.800819
3.1162,3,713.8428,24.97,36.10,18.5674,22.4417,0.999773,0.999648,9.61583445e-03,6.65018577e-03,0.800819
3.1643,3,702.9927,24.97,36.10,18.5674,22.4417,0.999776,0.999653,9.32574290e-03,6.44956519e-03,0.800819
3.2124,3,692.4676,24.97,36.10,18.5675,22.4417,0.999779,0.999658,9.04858116e-03,6.25788677e-03,0.800819
3.2605,3,682.2529,24.97,36.10,18.5675,22.4418,0.999783,0.999663,8.78359499e-03,6.07462765e-03,0.800819
3.3086,3,672.3353,24.97,36.10,18.5675,22.4418,0.999786,0.999668,8.53008050e-03,5.89930295e-03,0.800819
3.3567,3,662.7018,24.97,36.10,18.5675,22.4418,0.999789,0.999672,8.28738281e-03,5.73145936e-03,0.800819
3.4048,3,653.3405,24.97,36.10,18.5675,22.4419,0.999792,0.999677,8.05490117e-03,5.57067953e-03,0.800819
3.4529,3,644.2400,24.97,36.10,18.5676,22.4419,0.999795,0.999682,7.83206471e-03,5.41657036e-03,0.800819
3.5010,4,847.1860,33.29,48.12,18.5666,22.4403,0.999595,0.999372,1.35442505e-02,9.36697207e-03,0.800819
3.5491,4,835.7053,33.29,48.12,18.5666,22.4404,0.999600,0.999381,1.31796320e-02,9.11481257e-03,0.800819
3.5972,4,824.5315,33.29,48.12,18.5666,22.4404,0.999606,0.999389,1.28295420e-02,8.87270096e-03,0.800819
3.6453,4,813.6526,33.29,48.12,18.5667,22.4405,0.999611,0.999397,1.24932184e-02,8.64010900e-03,0.800819
3.6934,4,803.0570,33.29,48.12,18.5667,22.4405,0.999616,0.999405,1.21699487e-02,8.41654515e-03,0.800819
3.7415,4,792.7338,33.29,48.12,18.5667,22.4406,0.999621,0.999413,1.18590653e-02,8.20154668e-03,0.800819
3.7896,4,782.6727,33.29,48.12,18.5667,22.4406,0.999626,0.999420,1.15599457e-02,7.99468382e-03,0.800819
3.8377,4,772.8637,33.29,48.12,18.5668,22.4407,0.999630,0.999427,1.12719997e-02,7.79554755e-03,0.800819
3.8858,4,763.2976,33.29,48.12,18.5668,22.4407,0.999635,0.999434,1.09946817e-02,7.60376203e-03,0.800819
3.9339,4,753.9654,33.29,48.12,18.5668,22.4407,0.999640,0.999441,1.07274710e-02,7.41896578e-03,0.800819
3.9820,4,744.8586,33.29,48.12,18.5669,22.4408,0.999644,0.999448,1.04698867e-02,7.24082717e-03,0.800819
4.0301,4,735.9692,33.29,48.12,18.5669,22.4408,0.999648,0.999455,1.02214672e-02,7.06902666e-03,0.800819
4.0782,4,727.2894,33.29,48.12,18.5669,22.4409,0.999652,0.999461,9.98178842e-03,6.90327054e-03,0.800819
4.1263,4,718.8120,33.29,48.12,18.5669,22.4409,0.999656,0.999467,9.75043959e-03,6.74327564e-03,0.800819
4.1743,4,710.5300,33.29,48.13,18.5669,22.4409,0.999660,0.999473,9.52704313e-03,6.58877949e-03,0.800819
4.2224,4,702.4366,33.29,48.13,18.5670,22.4410,0.999664,0.999480,9.31123682e-03,6.43953276e-03,0.800819
4.2705,4,694.5256,33.29,48.13,18.5670,22.4410,0.999668,0.999485,9.10267989e-03,6.29529988e-03,0.800819
4.3186,4,686.7907,33.29,48.13,18.5670,22.4410,0.999672,0.999491,8.90105284e-03,6.15585948e-03,0.800819
4.3667,4,679.2263,33.29,48.13,18.5670,22.4411,0.999675,0.999497,8.70605303e-03,6.02100142e-03,0.800819
4.4148,4,671.8266,33.29,48.13,18.5670,22.4411,0.999679,0.999502,8.51738923e-03,5.89052641e-03,0.800819
4.4629,4,664.5864,33.29,48.13,18.5671,22.4411,0.999682,0.999507,8.33479501e-03,5.76424776e-03,0.800819
4.5110,5,821.8758,41.60,60.15,18.5661,22.4396,0.999476,0.999188,1.27474189e-02,8.81590673e-03,0.800819
4.5591,5,813.2055,41.60,60.15,18.5661,22.4396,0.999482,0.999197,1.24798689e-02,8.63087733e-03,0.800819
4.6072,5,804.7162,41.61,60.15,18.5661,22.4397,0.999487,0.999205,1.22206567e-02,8.45161280e-03,0.800819
4.6553,5,796.4023,41.61,60.15,18.5662,22.4397,0.999492,0.999213,1.19694348e-02,8.27787488e-03,0.800819
4.7034,5,788.2584,41.61,60.15,18.5662,22.4398,0.999497,0.999221,1.17258825e-02,8.10944061e-03,0.800819
4.7515,5,780.2794,41.61,60.15,18.5662,22.4398,0.999502,0.999229,1.14896878e-02,7.94609492e-03,0.800819
4.7996,5,772.4603,41.61,60.15,18.5663,22.4398,0.999508,0.999237,1.12605585e-02,7.78763519e-03,0.800819
4.8477,5,764.7964,41.61,60.15,18.5663,22.4399,0.999512,0.999244,1.10382161e-02,7.63386938e-03,0.800819
4.8958,5,757.2831,41.61,60.15,18.5663,22.4399,0.999517,0.999252,1.08223926e-02,7.48461103e-03,0.800819
4.9439,5,749.9159,41.61,60.15,18.5663,22.4400,0.999522,0.999259,1.06128405e-02,7.33969033e-03,0.800819
4.9920,5,742.6907,41.61,60.15,18.5664,22.4400,0.999526,0.999266,1.04093159e-02,7.19893817e-03,0.800819
5.0401,5,735.6034,41.61,60.15,18.5664,22.4400,0.999531,0.999273,1.02115882e-02,7.06219435e-03,0.800819
5.0882,5,728.6501,41.61,60.15,18.5664,22.4401,0.999535,0.999280,1.00194424e-02,6.92931104e-03,0.800819
5.1363,5,721.8270,41.61,60.15,18.5664,22.4401,0.999540,0.999287,9.83266962e-03,6.80014353e-03,0.800819
5.1844,5,715.1305,41.61,60.15,18.5664,22.4401,0.999544,0.999293,9.65107019e-03,6.67455412e-03,0.800819
5.2325,5,708.5571,41.61,60.15,18.5665,22.4402,0.999548,0.999300,9.47445589e-03,6.55241133e-03,0.800819
5.2806,5,702.1034,41.61,60.15,18.5665,22.4402,0.999552,0.999306,9.30264583e-03,6.43359184e-03,0.800819
5.3287,5,695.7663,41.61,60.15,18.5665,22.4402,0.999556,0.999312,9.13546856e-03,6.31797582e-03,0.800819
5.3768,5,689.5425,41.61,60.15,18.5665,22.4403,0.999560,0.999319,8.97275403e-03,6.20544619e-03,0.800819
5.4248,5,683.4291,41.61,60.15,18.5666,22.4403,0.999564,0.999325,8.81435155e-03,6.09589858e-03,0.800819
5.4729,5,677.4231,41.61,60.15,18.5666,22.4403,0.999568,0.999331,8.66010597e-03,5.98922555e-03,0.800819
5.5210,6,805.8261,49.92,72.17,18.5656,22.4388,0.999358,0.999005,1.22547589e-02,8.47519706e-03,0.800819
5.5691,6,798.8669,49.92,72.17,18.5656,22.4389,0.999363,0.999013,1.20439911e-02,8.32943617e-03,0.800819
5.6172,6,792.0268,49.92,72.17,18.5657,22.4389,0.999369,0.999022,1.18386153e-02,8.18740381e-03,0.800819
5.6653,6,785.3028,49.92,72.17,18.5657,22.4389,0.999374,0.999030,1.16384481e-02,8.04897354e-03,0.800819
5.7134,6,778.6920,49.92,72.17,18.5657,22.4390,0.999379,0.999038,1.14433157e-02,7.91402525e-03,0.800819
5.7615,6,772.1917,49.92,72.17,18.5657,22.4390,0.999385,0.999046,1.12530486e-02,7.78244168e-03,0.800819
5.8096,6,765.7989,49.92,72.17,18.5658,22.4391,0.999390,0.999054,1.10674884e-02,7.65411309e-03,0.800819
5.8577,6,759.5111,49.92,72.17,18.5658,22.4391,0.999395,0.999062,1.08864799e-02,7.52893225e-03,0.800819
5.9058,6,753.3258,49.92,72.17,18.5658,22.4391,0.999400,0.999069,1.07098761e-02,7.40679791e-03,0.800819
5.9539,6,747.2403,49.92,72.17,18.5658,22.4392,0.999404,0.999077,1.05375361e-02,7.28761171e-03,0.800819
6.0020,6,741.2524,49.92,72.17,18.5659,22.4392,0.999409,0.999084,1.03693213e-02,7.17127888e-03,0.800819
6.0501,6,735.3597,49.92,72.17,18.5659,22.4393,0.999414,0.999092,1.02051015e-02,7.05770845e-03,0.800819
6.0982,6,729.5600,49.92,72.17,18.5659,22.4393,0.999418,0.999099,1.00447556e-02,6.94681714e-03,0.800819
6.1463,6,723.8510,49.92,72.17,18.5659,22.4393,0.999423,0.999106,9.88815657e-03,6.83851692e-03,0.800819
6.1944,6,718.2307,49.92,72.17,18.5660,22.4394,0.999428,0.999113,9.73519286e-03,6.73273120e-03,0.800819
6.2425,6,712.6970,49.92,72.17,18.5660,22.4394,0.999432,0.999120,9.58575009e-03,6.62938001e-03,0.800819
6.2906,6,707.2478,49.92,72.17,18.5660,22.4394,0.999436,0.999126,9.43972188e-03,6.52839009e-03,0.800819
6.3387,6,701.8814,49.93,72.17,18.5660,22.4395,0.999440,0.999133,9.29700715e-03,6.42969208e-03,0.800819
6.3868,6,696.5959,49.93,72.17,18.5660,22.4395,0.999445,0.999140,9.15750344e-03,6.33321469e-03,0.800819
6.4349,6,691.3893,49.93,72.17,18.5661,22.4395,0.999449,0.999146,9.02111632e-03,6.23889238e-03,0.800819
6.4830,6,686.2600,49.93,72.17,18.5661,22.4396,0.999453,0.999152,8.88775331e-03,6.14666167e-03,0.800819
6.5311,7,794.7406,58.24,84.19,18.5651,22.4380,0.999240,0.998822,1.19202387e-02,8.24385245e-03,0.800819
6.5792,7,788.9307,58.24,84.19,18.5651,22.4381,0.999245,0.998831,1.17465797e-02,8.12375449e-03,0.800819
6.6273,7,783.2052,58.24,84.19,18.5652,22.4381,0.999251,0.998839,1.15766889e-02,8.00626263e-03,0.800819
6.6754,7,777.5621,58.24,84.19,18.5652,22.4382,0.999256,0.998848,1.14104568e-02,7.89130100e-03,0.800819
6.7234,7,771.9999,58.24,84.19,18.5652,22.4382,0.999262,0.998856,1.12477804e-02,7.77879857e-03,0.800819
6.7715,7,766.5166,58.24,84.19,18.5652,22.4382,0.999267,0.998864,1.10885575e-02,7.66868405e-03,0.800819
6.8196,7,761.1106,58.24,84.19,18.5653,22.4383,0.999272,0.998872,1.09326929e-02,7.56089188e-03,0.800819
6.8677,7,755.7804,58.24,84.19,18.5653,22.4383,0.999277,0.998880,1.07800895e-02,7.45535578e-03,0.800819
6.9158,7,750.5243,58.24,84.19,18.5653,22.4384,0.999282,0.998888,1.06306614e-02,7.35201465e-03,0.800819
6.9639,7,745.3409,58.24,84.19,18.5653,22.4384,0.999287,0.998895,1.04843176e-02,7.25080741e-03,0.800819
7.0120,7,740.2285,58.24,84.19,18.5654,22.4384,0.999292,0.998903,1.03409757e-02,7.15167552e-03,0.800819
7.0601,7,735.1858,58.24,84.19,18.5654,22.4385,0.999297,0.998910,1.02005532e-02,7.05456289e-03,0.800819
7.1082,7,730.2113,58.24,84.19,18.5654,22.4385,0.999302,0.998918,1.00629720e-02,6.95941514e-03,0.800819
7.1563,7,725.3037,58.24,84.19,18.5654,22.4386,0.999306,0.998925,9.92815587e-03,6.86617946e-03,0.800819
7.2044,7,720.4616,58.24,84.19,18.5655,22.4386,0.999311,0.998932,9.79602989e-03,6.77480433e-03,0.800819
7.2525,7,715.6838,58.24,84.19,18.5655,22.4386,0.999315,0.998939,9.66652394e-03,6.68524143e-03,0.800819
7.3006,7,710.9688,58.24,84.19,18.5655,22.4387,0.999320,0.998946,9.53956911e-03,6.59744240e-03,0.800819
7.3487,7,706.3157,58.24,84.19,18.5655,22.4387,0.999325,0.998953,9.41509899e-03,6.51136167e-03,0.800819
7.3968,7,701.7230,58.24,84.19,18.5655,22.4387,0.999329,0.998960,9.29305066e-03,6.42695593e-03,0.800819
7.4449,7,697.1896,58.24,84.19,18.5656,22.4388,0.999333,0.998967,9.17335989e-03,6.34418060e-03,0.800819
7.4930,7,692.7145,58.24,84.20,18.5656,22.4388,0.999337,0.998973,9.05596544e-03,6.26299340e-03,0.800819
7.5411,8,786.6245,66.55,96.20,18.5646,22.4373,0.999122,0.998640,1.16783411e-02,8.07656245e-03,0.800819
7.5892,8,781.6393,66.55,96.20,18.5646,22.4373,0.999128,0.998648,1.15307749e-02,7.97450974e-03,0.800819
7.6373,8,776.7169,66.55,96.20,18.5647,22.4373,0.999133,0.998657,1.13859893e-02,7.87438002e-03,0.800819
7.6854,8,771.8561,66.55,96.20,18.5647,22.4374,0.999139,0.998665,1.12439126e-02,7.77612339e-03,0.800819
7.7335,8,767.0557,66.55,96.21,18.5647,22.4374,0.999144,0.998674,1.11044785e-02,7.67969451e-03,0.800819
7.7816,8,762.3147,66.55,96.21,18.5648,22.4375,0.999149,0.998682,1.09676226e-02,7.58504844e-03,0.800819
7.8297,8,757.6319,66.55,96.21,18.5648,22.4375,0.999155,0.998690,1.08332816e-02,7.49214155e-03,0.800819
7.8778,8,753.0064,66.56,96.21,18.5648,22.4376,0.999160,0.998698,1.07013938e-02,7.40093166e-03,0.800819
7.9259,8,748.4369,66.56,96.21,18.5648,22.4376,0.999165,0.998706,1.05718993e-02,7.31137655e-03,0.800819
7.9739,8,743.9226,66.56,96.21,18.5649,22.4376,0.999170,0.998714,1.04447410e-02,7.22343704e-03,0.800819
8.0220,8,739.4624,66.56,96.21,18.5649,22.4377,0.999175,0.998721,1.03198644e-02,7.13707536e-03,0.800819
8.0701,8,735.0554,66.56,96.21,18.5649,22.4377,0.999180,0.998729,1.01972128e-02,7.05225269e-03,0.800819
8.1182,8,730.7006,66.56,96.21,18.5649,22.4377,0.999184,0.998736,1.00767359e-02,6.96893377e-03,0.800819
8.1663,8,726.3971,66.56,96.21,18.5649,22.4378,0.999189,0.998744,9.95838020e-03,6.88708188e-03,0.800819
8.2144,8,722.1439,66.56,96.21,18.5650,22.4378,0.999194,0.998751,9.84209861e-03,6.80666438e-03,0.800819
8.2625,8,717.9403,66.56,96.21,18.5650,22.4378,0.999199,0.998758,9.72784127e-03,6.72764684e-03,0.800819
8.3106,8,713.7854,66.56,96.21,18.5650,22.4379,0.999204,0.998766,9.61556138e-03,6.64999671e-03,0.800819
8.3587,8,709.6783,66.56,96.21,18.5650,22.4379,0.999208,0.998773,9.50521590e-03,6.57368447e-03,0.800819
8.4068,8,705.6181,66.56,96.21,18.5651,22.4380,0.999213,0.998780,9.39675795e-03,6.49867768e-03,0.800819
8.4549,8,701.6042,66.56,96.21,18.5651,22.4380,0.999217,0.998787,9.29014597e-03,6.42494706e-03,0.800819
8.5030,9,784.8401,74.87,108.22,18.5641,22.4364,0.998999,0.998449,1.16257518e-02,8.04019291e-03,0.800819
8.5511,9,780.4257,74.87,108.22,18.5641,22.4365,0.999005,0.998458,1.14953277e-02,7.94999529e-03,0.800819
8.5992,9,776.0607,74.87,108.22,18.5642,22.4365,0.999010,0.998466,1.13670843e-02,7.86130569e-03,0.800819
8.6473,9,771.7443,74.87,108.22,18.5642,22.4366,0.999016,0.998475,1.12409770e-02,7.77409328e-03,0.800819
8.6954,9,767.4756,74.87,108.22,18.5642,22.4366,0.999021,0.998483,1.11169564e-02,7.68832400e-03,0.800819
8.7435,9,763.2538,74.87,108.22,18.5642,22.4367,0.999027,0.998492,1.09949767e-02,7.60396591e-03,0.800819
8.7916,9,759.0783,74.87,108.22,18.5643,22.4367,0.999032,0.998500,1.08749928e-02,7.52098830e-03,0.800819
8.8397,9,754.9482,74.87,108.22,18.5643,22.4367,0.999037,0.998508,1.07569636e-02,7.43936235e-03,0.800819
8.8878,9,750.8628,74.87,108.22,18.5643,22.4368,0.999043,0.998516,1.06408439e-02,7.35905694e-03,0.800819
8.9359,9,746.8214,74.87,108.22,18.5643,22.4368,0.999048,0.998524,1.05265962e-02,7.28004610e-03,0.800819
8.9840,9,742.8232,74.87,108.22,18.5644,22.4368,0.999053,0.998532,1.04141771e-02,7.20229977e-03,0.800819
9.0321,9,738.8677,74.87,108.22,18.5644,22.4369,0.999058,0.998540,1.03035506e-02,7.12579330e-03,0.800819
9.0802,9,734.9540,74.87,108.22,18.5644,22.4369,0.999063,0.998548,1.01946777e-02,7.05049933e-03,0.800819
9.1283,9,731.0816,74.87,108.22,18.5644,22.4370,0.999068,0.998555,1.00875191e-02,6.97639128e-03,0.800819
9.1764,9,727.2497,74.87,108.22,18.5645,22.4370,0.999073,0.998563,9.98204335e-03,6.90344682e-03,0.800819
9.2244,9,723.4579,74.87,108.23,18.5645,22.4370,0.999077,0.998570,9.87821323e-03,6.83164027e-03,0.800819
9.2725,9,719.7053,74.87,108.23,18.5645,22.4371,0.999082,0.998578,9.77599350e-03,6.76094775e-03,0.800819
9.3206,9,715.9915,74.87,108.23,18.5645,22.4371,0.999087,0.998585,9.67535319e-03,6.69134724e-03,0.800819
9.3687,9,712.3158,74.87,108.23,18.5645,22.4371,0.999092,0.998592,9.57625850e-03,6.62281597e-03,0.800819
9.4168,9,708.6777,74.87,108.23,18.5646,22.4372,0.999096,0.998599,9.47867903e-03,6.55533211e-03,0.800819
9.4649,9,705.0765,74.87,108.23,18.5646,22.4372,0.999101,0.998607,9.38258300e-03,6.48887443e-03,0.800819
9.5130,10,779.4576,83.18,120.23,18.5636,22.4357,0.998882,0.998267,1.14671524e-02,7.93051008e-03,0.800819
9.5611,10,775.5366,83.18,120.23,18.5636,22.4357,0.998887,0.998276,1.13520612e-02,7.85091590e-03,0.800819
9.6092,10,771.6548,83.18,120.23,18.5637,22.4358,0.998893,0.998284,1.12386938e-02,7.77251436e-03,0.800819
9.6573,10,767.8118,83.18,120.23,18.5637,22.4358,0.998898,0.998293,1.11270157e-02,7.69528060e-03,0.800819
9.7054,10,764.0068,83.18,120.23,18.5637,22.4358,0.998904,0.998301,1.10169945e-02,7.61919275e-03,0.800819
9.7535,10,760.2394,83.18,120.23,18.5637,22.4359,0.998909,0.998310,1.09085978e-02,7.54422843e-03,0.800819
9.8016,10,756.5089,83.18,120.23,18.5638,22.4359,0.998915,0.998318,1.08017920e-02,7.47036432e-03,0.800819
9.8497,10,752.8149,83.18,120.23,18.5638,22.4360,0.998920,0.998326,1.06965475e-02,7.39757989e-03,0.800819
9.8978,10,749.1567,83.18,120.23,18.5638,22.4360,0.998925,0.998334,1.05928336e-02,7.32585390e-03,0.800819
9.9459,10,745.5340,83.18,120.23,18.5638,22.4360,0.998930,0.998343,1.04906205e-02,7.25516621e-03,0.800819
9.9940,10,741.9461,83.18,120.23,18.5639,22.4361,0.998936,0.998351,1.03898814e-02,7.18549755e-03,0.800819
10.0421,10,738.3925,83.18,120.24,18.5639,22.4361,0.998941,0.998358,1.02905846e-02,7.11682638e-03,0.800819
10.0902,10,734.8729,83.18,120.24,18.5639,22.4361,0.998946,0.998366,1.01927057e-02,7.04913573e-03,0.800819
10.1383,10,731.3866,83.18,120.24,18.5639,22.4362,0.998951,0.998374,1.00962147e-02,6.98240498e-03,0.800819
10.1864,10,727.9333,83.18,120.24,18.5640,22.4362,0.998956,0.998382,1.00010893e-02,6.91661848e-03,0.800819
10.2345,10,724.5124,83.18,120.24,18.5640,22.4363,0.998961,0.998389,9.90730193e-03,6.85175731e-03,0.800819
10.2826,10,721.1236,83.18,120.24,18.5640,22.4363,0.998965,0.998397,9.81482723e-03,6.78780415e-03,0.800819
10.3307,10,717.7662,83.18,120.24,18.5640,22.4363,0.998970,0.998404,9.72364081e-03,6.72474191e-03,0.800819
10.3788,10,714.4400,83.18,120.24,18.5640,22.4364,0.998975,0.998412,9.63371972e-03,6.66255470e-03,0.800819
10.4269,10,711.1445,83.18,120.24,18.5641,22.4364,0.998980,0.998419,9.54503946e-03,6.60122559e-03,0.800819
10.4749,10,707.8793,83.19,120.24,18.5641,22.4364,0.998984,0.998426,9.45757930e-03,6.54073992e-03,0.800819
10.5230,11,775.1083,91.49,132.24,18.5631,22.4349,0.998765,0.998085,1.13398496e-02,7.84247099e-03,0.800819
10.5711,11,771.5817,91.49,132.24,18.5631,22.4349,0.998770,0.998094,1.12368842e-02,7.77126270e-03,0.800819
10.6192,11,768.0871,91.49,132.24,18.5632,22.4350,0.998776,0.998103,1.11353149e-02,7.70102020e-03,0.800819
10.6673,11,764.6240,91.49,132.24,18.5632,22.4350,0.998781,0.998111,1.10351161e-02,7.63172522e-03,0.800819
10.7154,11,761.1920,91.49,132.24,18.5632,22.4351,0.998787,0.998120,1.09362641e-02,7.56336173e-03,0.800819
10.7635,11,757.7906,91.49,132.24,18.5632,22.4351,0.998792,0.998128,1.08387341e-02,7.49591267e-03,0.800819
10.8116,11,754.4196,91.49,132.24,18.5633,22.4351,0.998797,0.998136,1.07425029e-02,7.42936157e-03,0.800819
10.8597,11,751.0783,91.49,132.24,18.5633,22.4352,0.998803,0.998145,1.06475483e-02,7.36369330e-03,0.800819
10.9078,11,747.7666,91.49,132.24,18.5633,22.4352,0.998808,0.998153,1.05538464e-02,7.29889151e-03,0.800819
10.9559,11,744.4839,91.49,132.24,18.5633,22.4353,0.998813,0.998161,1.04613772e-02,7.23494222e-03,0.800819
11.0040,11,741.2299,91.49,132.24,18.5634,22.4353,0.998818,0.998169,1.03701163e-02,7.17182845e-03,0.800819
11.0521,11,738.0043,91.49,132.25,18.5634,22.4353,0.998824,0.998177,1.02800447e-02,7.10953725e-03,0.800819
11.1002,11,734.8066,91.49,132.25,18.5634,22.4354,0.998829,0.998185,1.01911430e-02,7.04805494e-03,0.800819
11.1483,11,731.6364,91.49,132.25,18.5634,22.4354,0.998834,0.998193,1.01033880e-02,6.98736583e-03,0.800819
11.1964,11,728.4936,91.50,132.25,18.5635,22.4354,0.998839,0.998200,1.00167628e-02,6.92745806e-03,0.800819
11.2445,11,725.3776,91.50,132.25,18.5635,22.4355,0.998844,0.998208,9.93124512e-03,6.86831603e-03,0.800819
11.2926,11,722.2881,91.50,132.25,18.5635,22.4355,0.998849,0.998216,9.84681938e-03,6.80992928e-03,0.800819
11.3407,11,719.2249,91.50,132.25,18.5635,22.4356,0.998854,0.998223,9.76346498e-03,6.75228334e-03,0.800819
11.3888,11,716.1875,91.50,132.25,18.5636,22.4356,0.998858,0.998231,9.68116525e-03,6.69536664e-03,0.800819
11.4369,11,713.1757,91.50,132.25,18.5636,22.4356,0.998863,0.998238,9.59990112e-03,6.63916652e-03,0.800819
