d_pdms_mm,T_one_wall,T_two_walls,T_two_walls_dB,amp_L,amp_R,effective_contrast,effective_contrast_dB,min_force_norm
12.1583,2.294245,5.26355913,7.2128,1.514676,1.514676,1000000.00,68.24,2.294245
12.2312,2.381074,5.66951276,7.5355,1.543073,1.543073,1000000.00,68.24,2.381074
12.3040,2.596415,6.74137267,8.2875,1.611340,1.611340,1000000.00,68.24,2.596415
12.3769,2.898468,8.40111842,9.2434,1.702489,1.702489,1000000.00,68.24,2.898468
12.4497,3.170271,10.05061510,10.0219,1.780525,1.780525,1000000.00,68.24,3.170271
12.5226,3.248308,10.55150332,10.2331,1.802306,1.802306,1000000.00,68.24,3.248308
12.5955,3.081591,9.49620607,9.7755,1.755446,1.755446,1000000.00,68.24,3.081591
12.6683,2.797364,7.82524300,8.9350,1.672532,1.672532,1000000.00,68.24,2.797364
12.7412,2.550884,6.50700786,8.1338,1.597149,1.597149,1000000.00,68.24,2.550884
12.8141,2.422871,5.87030609,7.6866,1.556558,1.556558,1000000.00,68.24,2.422871
12.8869,2.438917,5.94831670,7.7439,1.561703,1.561703,1000000.00,68.24,2.438917
12.9598,2.603500,6.77821442,8.3112,1.613537,1.613537,1000000.00,68.24,2.603500
13.0327,2.899173,8.40520571,9.2455,1.702696,1.702696,1000000.00,68.24,2.899173
13.1055,3.246634,10.54063059,10.2287,1.801842,1.801842,1000000.00,68.24,3.246634
13.1784,3.473132,12.06264556,10.8144,1.863634,1.863634,1000000.00,68.24,3.473132
13.2513,3.422426,11.71299888,10.6867,1.849980,1.849980,1000000.00,68.24,3.422426
13.3241,3.143315,9.88042611,9.9478,1.772940,1.772940,1000000.00,68.24,3.143315
13.3970,2.824791,7.97944300,9.0197,1.680711,1.680711,1000000.00,68.24,2.824791
13.4698,2.604820,6.78508495,8.3156,1.613945,1.613945,1000000.00,68.24,2.604820
13.5427,2.535331,6.42790474,8.0807,1.592272,1.592272,1000000.00,68.24,2.535331
13.6156,2.629489,6.91421356,8.3974,1.621570,1.621570,1000000.00,68.24,2.629489
13.6884,2.885238,8.32459696,9.2036,1.698599,1.698599,1000000.00,68.24,2.885238
13.7613,3.261930,10.64018537,10.2695,1.806081,1.806081,1000000.00,68.24,3.261930
13.8342,3.621218,13.11322137,11.1771,1.902950,1.902950,1000000.00,68.24,3.621218
13.9070,3.741902,14.00183097,11.4618,1.934400,1.934400,1000000.00,68.24,3.741902
13.9799,3.536785,12.50885164,10.9722,1.880634,1.880634,1000000.00,68.24,3.536785
14.0528,3.171371,10.05759694,10.0249,1.780834,1.780834,1000000.00,68.24,3.171371
14.1256,2.853050,8.13989549,9.1062,1.689097,1.689097,1000000.00,68.24,2.853050
14.1985,2.682952,7.19823405,8.5723,1.637972,1.637972,1000000.00,68.24,2.682952
